Trials = 100000   SKIP
Wishes Available,         X,        C0,        C1,        C2,        C3,        C4,        C5,        C6   SKIP
              62,   39.4690,   54.0070,    6.1560,    0.3480,    0.0200,    0.0000,    0.0000,    0.0000
              63,   39.5690,   53.8710,    6.1970,    0.3450,    0.0180,    0.0000,    0.0000,    0.0000
              64,   38.9570,   54.2420,    6.4040,    0.3840,    0.0130,    0.0000,    0.0000,    0.0000
              65,   38.7950,   54.2470,    6.5080,    0.4310,    0.0180,    0.0010,    0.0000,    0.0000
              66,   38.9850,   53.8220,    6.7470,    0.4360,    0.0100,    0.0000,    0.0000,    0.0000
              67,   38.4380,   54.1040,    6.9900,    0.4460,    0.0220,    0.0000,    0.0000,    0.0000
              68,   37.9930,   54.5920,    6.9150,    0.4770,    0.0220,    0.0010,    0.0000,    0.0000
              69,   37.8440,   54.4720,    7.1500,    0.5130,    0.0200,    0.0010,    0.0000,    0.0000
              70,   37.5520,   54.5310,    7.4130,    0.4870,    0.0160,    0.0010,    0.0000,    0.0000
              71,   37.4910,   54.5720,    7.3730,    0.5460,    0.0180,    0.0000,    0.0000,    0.0000
              72,   37.2850,   54.4490,    7.7060,    0.5330,    0.0270,    0.0000,    0.0000,    0.0000
              73,   36.8250,   54.7530,    7.8140,    0.5730,    0.0340,    0.0010,    0.0000,    0.0000
              74,   36.8170,   54.5690,    7.9920,    0.5820,    0.0380,    0.0020,    0.0000,    0.0000
              75,   36.6010,   54.6880,    8.0950,    0.5880,    0.0280,    0.0000,    0.0000,    0.0000
              76,   36.5490,   54.6140,    8.1430,    0.6720,    0.0210,    0.0010,    0.0000,    0.0000
              77,   35.9810,   54.6920,    8.6270,    0.6550,    0.0420,    0.0030,    0.0000,    0.0000
              78,   35.5680,   55.0730,    8.6490,    0.6800,    0.0290,    0.0010,    0.0000,    0.0000
              79,   35.4160,   54.9040,    8.8930,    0.7400,    0.0450,    0.0020,    0.0000,    0.0000
              80,   35.1080,   55.0900,    9.0690,    0.6890,    0.0420,    0.0020,    0.0000,    0.0000
              81,   34.5260,   55.3860,    9.2850,    0.7550,    0.0460,    0.0020,    0.0000,    0.0000
              82,   34.1950,   55.2860,    9.6490,    0.8110,    0.0540,    0.0050,    0.0000,    0.0000
              83,   34.1970,   55.0300,    9.9130,    0.7940,    0.0640,    0.0020,    0.0000,    0.0000
              84,   33.5790,   55.5110,    9.9960,    0.8610,    0.0510,    0.0010,    0.0010,    0.0000
              85,   33.2300,   55.5150,   10.3070,    0.8850,    0.0620,    0.0010,    0.0000,    0.0000
              86,   33.0270,   55.3310,   10.6400,    0.9550,    0.0440,    0.0030,    0.0000,    0.0000
              87,   32.4370,   55.5350,   10.9560,    1.0070,    0.0630,    0.0020,    0.0000,    0.0000
              88,   31.8330,   55.7910,   11.2910,    1.0140,    0.0690,    0.0020,    0.0000,    0.0000
              89,   31.8520,   55.6640,   11.4570,    0.9680,    0.0570,    0.0020,    0.0000,    0.0000
              90,   31.3500,   55.8430,   11.6510,    1.0660,    0.0870,    0.0030,    0.0000,    0.0000
              91,   30.9070,   56.0780,   11.8930,    1.0500,    0.0680,    0.0040,    0.0000,    0.0000
              92,   30.6640,   56.0250,   12.0990,    1.1240,    0.0850,    0.0030,    0.0000,    0.0000
              93,   30.1770,   56.2710,   12.3070,    1.1640,    0.0770,    0.0040,    0.0000,    0.0000
              94,   29.6990,   56.4020,   12.6590,    1.1570,    0.0810,    0.0020,    0.0000,    0.0000
              95,   29.5140,   56.3440,   12.8310,    1.2280,    0.0780,    0.0050,    0.0000,    0.0000
              96,   28.8040,   56.4880,   13.3500,    1.2590,    0.0890,    0.0100,    0.0000,    0.0000
              97,   27.6490,   56.8850,   13.9750,    1.3810,    0.1050,    0.0050,    0.0000,    0.0000
              98,   25.7960,   57.9080,   14.8580,    1.3360,    0.0940,    0.0080,    0.0000,    0.0000
              99,   23.6590,   58.5810,   16.2310,    1.4240,    0.0970,    0.0080,    0.0000,    0.0000
             100,   20.8420,   59.7360,   17.8400,    1.4680,    0.1100,    0.0040,    0.0000,    0.0000
             101,   17.5550,   61.2350,   19.5310,    1.5630,    0.1110,    0.0050,    0.0000,    0.0000
             102,   13.9300,   62.7550,   21.5030,    1.6890,    0.1150,    0.0080,    0.0000,    0.0000
             103,   10.9860,   63.8160,   23.2980,    1.7860,    0.1110,    0.0030,    0.0000,    0.0000
             104,    8.2480,   64.8710,   24.9050,    1.8370,    0.1310,    0.0080,    0.0000,    0.0000
             105,    5.7950,   65.7030,   26.4050,    1.9520,    0.1400,    0.0050,    0.0000,    0.0000
             106,    3.8590,   66.4680,   27.4180,    2.1210,    0.1280,    0.0060,    0.0000,    0.0000
             107,    2.4420,   66.7190,   28.4310,    2.2590,    0.1370,    0.0090,    0.0030,    0.0000
             108,    1.4460,   66.7260,   29.3100,    2.3580,    0.1540,    0.0060,    0.0000,    0.0000
             109,    0.8750,   66.4610,   30.1470,    2.3460,    0.1620,    0.0080,    0.0010,    0.0000
             110,    0.4780,   66.2450,   30.5970,    2.5040,    0.1670,    0.0080,    0.0010,    0.0000
             111,    0.2460,   66.0270,   30.7730,    2.7580,    0.1840,    0.0120,    0.0000,    0.0000
             112,    0.1400,   65.5920,   31.2340,    2.8430,    0.1780,    0.0120,    0.0010,    0.0000
             113,    0.0790,   65.1130,   31.5830,    3.0240,    0.1880,    0.0120,    0.0010,    0.0000
             114,    0.0350,   64.7920,   31.8460,    3.1060,    0.2100,    0.0100,    0.0000,    0.0010
             115,    0.0070,   64.3270,   32.2480,    3.1820,    0.2260,    0.0100,    0.0000,    0.0000
             116,    0.0040,   64.0050,   32.2920,    3.4610,    0.2240,    0.0120,    0.0020,    0.0000
             117,    0.0030,   63.4650,   32.6680,    3.6100,    0.2390,    0.0150,    0.0000,    0.0000
             118,    0.0000,   62.9060,   33.0800,    3.7340,    0.2670,    0.0120,    0.0010,    0.0000
             119,    0.0010,   62.5090,   33.3420,    3.8650,    0.2630,    0.0170,    0.0020,    0.0010
             120,    0.0000,   62.5760,   33.1630,    3.9370,    0.3090,    0.0150,    0.0000,    0.0000
             121,    0.0000,   61.6530,   33.7890,    4.2510,    0.2890,    0.0180,    0.0000,    0.0000
             122,    0.0000,   61.3240,   33.8980,    4.4320,    0.3290,    0.0160,    0.0010,    0.0000
             123,    0.0000,   61.0800,   33.9560,    4.5760,    0.3590,    0.0270,    0.0020,    0.0000
             124,    0.0000,   60.3210,   34.5980,    4.6850,    0.3770,    0.0180,    0.0010,    0.0000
             125,    0.0000,   59.8850,   34.8510,    4.8800,    0.3620,    0.0220,    0.0000,    0.0000
             126,    0.0000,   59.7120,   34.9430,    4.9170,    0.3970,    0.0310,    0.0000,    0.0000
             127,    0.0000,   59.1630,   35.2340,    5.1590,    0.4140,    0.0280,    0.0020,    0.0000
             128,    0.0000,   58.4290,   35.7910,    5.3250,    0.4250,    0.0300,    0.0000,    0.0000
             129,    0.0000,   57.9620,   36.0090,    5.5370,    0.4710,    0.0190,    0.0020,    0.0000
             130,    0.0000,   57.8130,   36.1960,    5.4860,    0.4680,    0.0350,    0.0020,    0.0000
             131,    0.0000,   57.3710,   36.4450,    5.6680,    0.4860,    0.0280,    0.0020,    0.0000
             132,    0.0000,   56.9780,   36.5750,    5.9210,    0.4910,    0.0330,    0.0020,    0.0000
             133,    0.0000,   56.5360,   36.7590,    6.1570,    0.5200,    0.0250,    0.0030,    0.0000
             134,    0.0000,   56.2950,   36.9430,    6.1930,    0.5300,    0.0340,    0.0050,    0.0000
             135,    0.0000,   55.7100,   37.1800,    6.5120,    0.5600,    0.0340,    0.0030,    0.0010
             136,    0.0000,   55.3320,   37.5560,    6.4850,    0.5890,    0.0370,    0.0010,    0.0000
             137,    0.0000,   55.0170,   37.5910,    6.7450,    0.6100,    0.0370,    0.0000,    0.0000
             138,    0.0000,   54.7340,   37.5460,    7.0280,    0.6470,    0.0440,    0.0010,    0.0000
             139,    0.0000,   54.2370,   38.0000,    7.0860,    0.6270,    0.0450,    0.0040,    0.0010
             140,    0.0000,   53.8040,   38.2980,    7.2200,    0.6320,    0.0440,    0.0020,    0.0000
             141,    0.0000,   53.4060,   38.3570,    7.4870,    0.7020,    0.0440,    0.0030,    0.0010
             142,    0.0000,   52.8270,   38.7440,    7.5800,    0.7960,    0.0500,    0.0030,    0.0000
             143,    0.0000,   52.6610,   38.8600,    7.6470,    0.7670,    0.0640,    0.0010,    0.0000
             144,    0.0000,   52.1400,   39.0370,    7.9710,    0.7900,    0.0570,    0.0050,    0.0000
             145,    0.0000,   51.9160,   39.0930,    8.0710,    0.8640,    0.0550,    0.0010,    0.0000
             146,    0.0000,   51.2940,   39.4550,    8.2930,    0.8920,    0.0630,    0.0030,    0.0000
             147,    0.0000,   51.1560,   39.4830,    8.3990,    0.8960,    0.0640,    0.0020,    0.0000
             148,    0.0000,   50.5240,   39.8250,    8.6250,    0.9450,    0.0750,    0.0050,    0.0010
             149,    0.0000,   50.3510,   39.8450,    8.7740,    0.9560,    0.0650,    0.0090,    0.0000
             150,    0.0000,   49.8130,   40.1840,    8.9350,    0.9740,    0.0880,    0.0060,    0.0000
             151,    0.0000,   49.3960,   40.3060,    9.1850,    1.0400,    0.0650,    0.0080,    0.0000
             152,    0.0000,   49.4790,   40.0040,    9.3440,    1.0690,    0.0920,    0.0110,    0.0010
             153,    0.0000,   48.4910,   40.7840,    9.5370,    1.0990,    0.0810,    0.0080,    0.0000
             154,    0.0000,   48.2250,   40.7760,    9.7060,    1.1880,    0.0980,    0.0070,    0.0000
             155,    0.0000,   47.8180,   41.1040,    9.8160,    1.1660,    0.0890,    0.0060,    0.0010
             156,    0.0000,   47.4840,   41.1080,   10.0890,    1.2080,    0.1050,    0.0060,    0.0000
             157,    0.0000,   46.9610,   41.3000,   10.3430,    1.2850,    0.1020,    0.0080,    0.0010
             158,    0.0000,   46.2990,   41.9150,   10.3940,    1.2660,    0.1170,    0.0080,    0.0010
             159,    0.0000,   46.2310,   41.7640,   10.5580,    1.3380,    0.1030,    0.0050,    0.0010
             160,    0.0000,   45.6150,   42.0000,   10.8850,    1.3640,    0.1220,    0.0140,    0.0000
             161,    0.0000,   45.1650,   42.2770,   10.9660,    1.4510,    0.1360,    0.0050,    0.0000
             162,    0.0000,   44.3910,   42.7420,   11.2660,    1.4490,    0.1450,    0.0070,    0.0000
             163,    0.0000,   44.1650,   42.4810,   11.6710,    1.5510,    0.1210,    0.0090,    0.0020
             164,    0.0000,   43.7420,   42.8370,   11.7440,    1.5320,    0.1380,    0.0070,    0.0000
             165,    0.0000,   43.6000,   42.8530,   11.7590,    1.6330,    0.1510,    0.0030,    0.0010
             166,    0.0000,   42.8860,   43.2530,   12.0740,    1.6130,    0.1610,    0.0130,    0.0000
             167,    0.0000,   42.5760,   43.2260,   12.3440,    1.6830,    0.1590,    0.0110,    0.0010
             168,    0.0000,   42.0480,   43.6840,   12.3750,    1.7140,    0.1680,    0.0110,    0.0000
             169,    0.0000,   41.3200,   44.0770,   12.5770,    1.8420,    0.1690,    0.0130,    0.0020
             170,    0.0000,   40.7030,   44.2480,   13.0440,    1.8190,    0.1740,    0.0110,    0.0010
             171,    0.0000,   40.4380,   44.2300,   13.2330,    1.9000,    0.1810,    0.0160,    0.0020
             172,    0.0000,   40.1290,   44.2770,   13.3890,    1.9960,    0.1950,    0.0140,    0.0000
             173,    0.0000,   39.3990,   44.5310,   13.9080,    1.9410,    0.2040,    0.0160,    0.0010
             174,    0.0000,   38.3770,   45.2320,   14.0880,    2.0770,    0.2090,    0.0150,    0.0020
             175,    0.0000,   37.0990,   45.9200,   14.6750,    2.0830,    0.2070,    0.0150,    0.0010
             176,    0.0000,   35.9860,   46.5980,   14.9760,    2.2240,    0.2000,    0.0160,    0.0000
             177,    0.0000,   34.1910,   47.9050,   15.4800,    2.2000,    0.2080,    0.0160,    0.0000
             178,    0.0000,   32.2840,   49.1160,   15.9610,    2.3790,    0.2460,    0.0120,    0.0020
             179,    0.0000,   30.5730,   50.1290,   16.6250,    2.4440,    0.2120,    0.0140,    0.0030
             180,    0.0000,   28.4490,   51.5090,   17.3300,    2.4240,    0.2640,    0.0210,    0.0030
             181,    0.0000,   26.5660,   52.5130,   18.0470,    2.5710,    0.2740,    0.0290,    0.0000
             182,    0.0000,   25.1570,   53.3830,   18.5480,    2.6310,    0.2500,    0.0290,    0.0020
             183,    0.0000,   23.5280,   54.1470,   19.3050,    2.7190,    0.2830,    0.0170,    0.0010
             184,    0.0000,   21.8800,   55.0280,   19.9830,    2.8150,    0.2700,    0.0230,    0.0010
             185,    0.0000,   20.6050,   55.7360,   20.4930,    2.8250,    0.3110,    0.0290,    0.0010
             186,    0.0000,   19.9020,   55.9760,   20.7950,    3.0040,    0.2980,    0.0230,    0.0020
             187,    0.0000,   19.0970,   56.1050,   21.3280,    3.1360,    0.3000,    0.0320,    0.0020
             188,    0.0000,   18.6360,   56.0910,   21.7500,    3.1590,    0.3330,    0.0300,    0.0010
             189,    0.0000,   17.9640,   56.0670,   22.2450,    3.3770,    0.3150,    0.0290,    0.0030
             190,    0.0000,   17.7120,   55.9570,   22.4940,    3.4380,    0.3700,    0.0270,    0.0020
             191,    0.0000,   17.2040,   56.0470,   22.6620,    3.6920,    0.3650,    0.0290,    0.0010
             192,    0.0000,   17.0200,   55.7850,   23.0310,    3.7320,    0.3990,    0.0310,    0.0020
             193,    0.0000,   16.6660,   55.6030,   23.5260,    3.7440,    0.4280,    0.0300,    0.0030
             194,    0.0000,   16.3540,   55.5160,   23.6900,    3.9690,    0.4320,    0.0370,    0.0020
             195,    0.0000,   15.9450,   55.3750,   24.1360,    4.0420,    0.4560,    0.0430,    0.0030
             196,    0.0000,   16.0740,   54.9030,   24.3900,    4.1300,    0.4600,    0.0400,    0.0030
             197,    0.0000,   15.7060,   54.9320,   24.6250,    4.2500,    0.4530,    0.0320,    0.0020
             198,    0.0000,   15.4970,   54.5090,   25.1020,    4.3690,    0.4710,    0.0460,    0.0060
             199,    0.0000,   15.3300,   54.4660,   25.2230,    4.4430,    0.4860,    0.0510,    0.0010
             200,    0.0000,   15.2750,   54.1360,   25.4710,    4.5900,    0.4830,    0.0430,    0.0020
             201,    0.0000,   15.0860,   53.7670,   25.7720,    4.7890,    0.5410,    0.0440,    0.0010
             202,    0.0000,   14.6370,   53.7840,   26.1620,    4.8350,    0.5430,    0.0370,    0.0020
