Trials = 100000   SKIP
Wishes Available,         X,        C0,        C1,        C2,        C3,        C4,        C5,        C6   SKIP
               1,   99.7080,    0.2920,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               2,   99.4020,    0.5970,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               3,   99.1260,    0.8700,    0.0040,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               4,   98.8350,    1.1640,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               5,   98.5200,    1.4740,    0.0060,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               6,   98.2000,    1.7900,    0.0100,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               7,   97.8960,    2.0850,    0.0180,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000
               8,   97.5830,    2.3970,    0.0200,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
               9,   97.2650,    2.7100,    0.0250,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
              10,   96.9490,    3.0050,    0.0450,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000
              11,   96.6290,    3.3170,    0.0530,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000
              12,   96.5150,    3.4230,    0.0620,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
              13,   96.1670,    3.7650,    0.0670,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000
              14,   95.8420,    4.0730,    0.0830,    0.0020,    0.0000,    0.0000,    0.0000,    0.0000
              15,   95.6130,    4.2990,    0.0880,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000
              16,   95.1580,    4.7200,    0.1190,    0.0030,    0.0000,    0.0000,    0.0000,    0.0000
              17,   94.9320,    4.9390,    0.1260,    0.0020,    0.0010,    0.0000,    0.0000,    0.0000
              18,   94.5630,    5.3080,    0.1270,    0.0020,    0.0000,    0.0000,    0.0000,    0.0000
              19,   94.2290,    5.6300,    0.1400,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000
              20,   93.9210,    5.9110,    0.1660,    0.0020,    0.0000,    0.0000,    0.0000,    0.0000
              21,   93.6940,    6.1140,    0.1870,    0.0050,    0.0000,    0.0000,    0.0000,    0.0000
              22,   93.4420,    6.3480,    0.2090,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000
              23,   93.1010,    6.6890,    0.2090,    0.0010,    0.0000,    0.0000,    0.0000,    0.0000
              24,   92.8630,    6.9220,    0.2070,    0.0080,    0.0000,    0.0000,    0.0000,    0.0000
              25,   92.6050,    7.1030,    0.2840,    0.0080,    0.0000,    0.0000,    0.0000,    0.0000
              26,   92.2690,    7.4280,    0.2970,    0.0060,    0.0000,    0.0000,    0.0000,    0.0000
              27,   91.9900,    7.7120,    0.2920,    0.0050,    0.0010,    0.0000,    0.0000,    0.0000
              28,   91.6050,    8.0360,    0.3510,    0.0080,    0.0000,    0.0000,    0.0000,    0.0000
              29,   91.4290,    8.2200,    0.3390,    0.0120,    0.0000,    0.0000,    0.0000,    0.0000
              30,   91.0460,    8.5420,    0.4030,    0.0090,    0.0000,    0.0000,    0.0000,    0.0000
              31,   90.8030,    8.7920,    0.3950,    0.0100,    0.0000,    0.0000,    0.0000,    0.0000
              32,   90.4840,    9.0830,    0.4230,    0.0090,    0.0010,    0.0000,    0.0000,    0.0000
