Trials = 100000   SKIP
Wishes Available,         X,        C0,        C1,        C2,        C3,        C4,        C5,        C6   SKIP
              62,   81.8910,   16.5560,    1.4820,    0.0680,    0.0020,    0.0010,    0.0000,     0.0000
              63,   81.4250,   16.8530,    1.6230,    0.0950,    0.0030,    0.0010,    0.0000,     0.0000
              64,   81.1010,   17.1010,    1.7050,    0.0930,    0.0000,    0.0000,    0.0000,     0.0000
              65,   80.8520,   17.3030,    1.7400,    0.0980,    0.0070,    0.0000,    0.0000,     0.0000
              66,   80.7390,   17.4130,    1.7320,    0.1130,    0.0020,    0.0010,    0.0000,     0.0000
              67,   80.3780,   17.7330,    1.7660,    0.1160,    0.0070,    0.0000,    0.0000,     0.0000
              68,   79.9030,   18.0840,    1.8800,    0.1240,    0.0080,    0.0010,    0.0000,     0.0000
              69,   79.7910,   18.2650,    1.8340,    0.1040,    0.0060,    0.0000,    0.0000,     0.0000
              70,   79.4750,   18.4180,    1.9650,    0.1340,    0.0070,    0.0010,    0.0000,     0.0000
              71,   79.2780,   18.5800,    1.9990,    0.1360,    0.0070,    0.0000,    0.0000,     0.0000
              72,   78.8970,   18.8810,    2.0670,    0.1500,    0.0040,    0.0010,    0.0000,     0.0000
              73,   78.7680,   18.9660,    2.0880,    0.1710,    0.0070,    0.0000,    0.0000,     0.0000
              74,   76.6190,   21.0840,    2.1230,    0.1630,    0.0110,    0.0000,    0.0000,     0.0000
              75,   72.7840,   24.6950,    2.3520,    0.1550,    0.0130,    0.0010,    0.0000,     0.0000
              76,   67.7650,   29.6970,    2.3670,    0.1620,    0.0090,    0.0000,    0.0000,     0.0000
              77,   62.5790,   34.7190,    2.5110,    0.1810,    0.0100,    0.0000,    0.0000,     0.0000
              78,   57.1660,   39.9940,    2.6420,    0.1810,    0.0160,    0.0010,    0.0000,     0.0000
              79,   52.9790,   44.0320,    2.7830,    0.1940,    0.0120,    0.0000,    0.0000,     0.0000
              80,   49.3370,   47.4360,    2.9810,    0.2290,    0.0160,    0.0010,    0.0000,     0.0000
              81,   47.2160,   49.3730,    3.1750,    0.2290,    0.0060,    0.0010,    0.0000,     0.0000
              82,   45.1310,   51.1690,    3.4680,    0.2160,    0.0150,    0.0010,    0.0000,     0.0000
              83,   43.9360,   52.1180,    3.6860,    0.2430,    0.0160,    0.0010,    0.0000,     0.0000
              84,   43.5340,   52.3150,    3.8820,    0.2560,    0.0120,    0.0010,    0.0000,     0.0000
              85,   43.0000,   52.4860,    4.2170,    0.2820,    0.0150,    0.0000,    0.0000,     0.0000
              86,   42.1430,   53.1390,    4.4230,    0.2810,    0.0130,    0.0010,    0.0000,     0.0000
              87,   41.8610,   53.1180,    4.7130,    0.2890,    0.0170,    0.0020,    0.0000,     0.0000
